"日期","收市","開市","高","低","成交量","更改%"
"2021年8月13日","135.65","136.60","136.85","135.55","7.82M","-0.95%"
"2021年8月12日","136.95","137.20","137.25","136.50","2.38M","-0.18%"
"2021年8月11日","137.20","137.35","137.65","136.60","3.87M","-0.33%"
"2021年8月10日","137.65","138.45","138.50","137.50","2.68M","-0.54%"
"2021年8月9日","138.40","138.20","138.55","136.70","5.19M","-0.29%"
"2021年8月6日","138.80","138.90","139.00","137.80","4.03M","-0.14%"
"2021年8月5日","139.00","139.25","139.45","138.85","5.84M","-0.18%"
"2021年8月4日","139.25","138.65","139.30","138.45","5.64M","0.58%"
"2021年8月3日","138.45","137.95","138.45","137.70","6.22M","0.40%"
"2021年8月2日","137.90","137.00","138.00","136.05","7.38M","1.36%"
"2021年7月30日","136.05","136.60","136.60","136.00","4.04M","-0.33%"
"2021年7月29日","136.50","135.85","136.60","135.25","10.89M","1.68%"
"2021年7月28日","134.25","136.10","136.10","133.75","31.58M","-1.58%"
"2021年7月27日","136.40","136.50","137.05","136.05","10.68M","-0.04%"
"2021年7月26日","136.45","137.75","138.05","136.25","12.15M","-0.87%"
"2021年7月23日","137.65","138.05","138.30","137.35","3.24M","0.00%"
"2021年7月22日","137.65","137.80","138.55","137.25","6.24M","0.69%"
"2021年7月21日","136.70","138.00","138.00","136.10","13.27M","-0.36%"
"2021年7月20日","137.20","137.80","138.30","137.05","8.44M","-0.80%"
"2021年7月19日","138.30","139.00","139.20","137.55","10.86M","-1.14%"
"2021年7月16日","139.90","139.80","140.00","139.05","9.51M","-1.34%"
"2021年7月15日","141.80","140.95","141.85","140.80","12.34M","0.93%"
"2021年7月14日","140.50","140.20","141.10","140.15","9.60M","0.25%"
"2021年7月13日","140.15","140.00","141.00","139.95","14.01M","0.83%"
"2021年7月12日","139.00","139.05","140.05","138.55","13.74M","0.91%"
"2021年7月9日","137.75","137.90","137.90","136.95","7.18M","-0.79%"
"2021年7月8日","138.85","139.15","139.50","138.20","4.09M","-0.11%"
"2021年7月7日","139.00","139.60","139.65","138.60","6.78M","-0.54%"
"2021年7月6日","139.75","139.85","140.05","139.45","6.55M","0.11%"
"2021年7月5日","139.60","138.75","140.00","138.75","7.88M","0.94%"
"2021年7月2日","138.30","138.30","138.50","137.90","4.83M","0.00%"
"2021年7月1日","138.30","139.00","139.20","138.05","4.68M","-0.47%"
"2021年6月30日","138.95","138.10","139.35","138.05","9.76M","0.98%"
"2021年6月29日","137.60","137.90","138.70","137.30","9.13M","0.29%"
"2021年6月28日","137.20","137.00","137.50","136.50","4.09M","0.18%"
"2021年6月25日","136.95","137.45","137.95","136.70","6.62M","0.18%"
"2021年6月24日","136.70","137.05","137.25","136.45","6.29M","-0.26%"
"2021年6月23日","137.05","135.00","137.15","134.80","6.52M","1.63%"
"2021年6月22日","134.85","135.60","136.05","134.50","6.08M","0.11%"
"2021年6月21日","134.70","136.90","137.00","134.60","16.68M","-2.39%"
"2021年6月18日","138.00","138.85","138.85","137.95","2.25M","-0.22%"
"2021年6月17日","138.30","137.80","138.30","137.15","3.28M","-0.29%"
"2021年6月16日","138.70","138.70","138.95","138.15","7.33M","-0.11%"
"2021年6月15日","138.85","138.60","139.00","138.40","4.13M","0.54%"
"2021年6月11日","138.10","138.10","138.50","137.85","3.43M","0.36%"
"2021年6月10日","137.60","136.00","137.85","135.80","6.95M","1.55%"
